id_proprietaire,id_adresse,titre_logement,photo_logment,accroche_logement,description_logement,gps_longitude_logement,gps_latitude_logement,categorie_logement,type_logement,surface_logement,max_personne_logement,nb_lits_simples_logement,nb_lits_doubles_logement,prix_ht_logement,prix_ttc_logement,est_visible,duree_minimale_reservation,delais_minimum_reservation,delais_prevenance,classe_energetique
MarLe,21,Charmant studio en bord de mer,1_appartement,Studio cosy avec vue sur l'océan,Ce studio lumineux et récemment rénové offre une vue imprenable sur l'océan. Idéal pour les couples en quête de tranquillité. À quelques pas des plages de sable fin.,-2.0056,48.6354,appartement,T1,30,2,0,1,60,66,1,3,7,2,A
JDub,22,Maison traditionnelle avec jardin près de la côte,2_maison,Maison bretonne avec jardin paisible,"Cette charmante maison bretonne offre tout le confort nécessaire pour un séjour en famille. Située dans un quartier calme, à proximité des sentiers côtiers et des villages pittoresques.",-2.8604,47.6942,maison,T3,80,4,2,1,100,110,1,5,10,3,B
SoMar,23,Villa d'exception avec vue panoramique sur la baie,3_villa,Villa de luxe avec vue sur la baie,"Cette magnifique villa contemporaine offre des prestations haut de gamme et une vue à couper le souffle sur la baie. Piscine privée, jacuzzi et terrasse aménagée pour des vacances inoubliables.",-4.4550,48.5147,villa d'exception,T4,200,8,0,4,300,330,1,7,14,5,A
PiDu,24,Chalet cosy au cœur de la forêt,4_chalet,Chalet en bois au milieu de la nature,"Ce chalet en bois offre une ambiance chaleureuse et intimiste, parfait pour une escapade romantique ou des vacances en famille. Profitez de la nature environnante tout en étant confortablement installé près du feu de cheminée.",-3.8229,48.2416,chalet,T2,50,4,0,2,120,132,1,4,7,2,B
ElMo,25,Bateau amarré au port de Saint-Malo,5_bateau,Séjour insolite à bord d'un bateau,"Vivez une expérience unique à bord de ce bateau amarré dans le pittoresque port de Saint-Malo. Confortablement équipé, il offre une vue imprenable sur les remparts et le vieux port.",-2.0254,48.6495,bateau,F2,35,2,0,1,80,88,1,2,5,1,
ThLau,26,Cabane perchée dans les arbres,6_insolite,Évasion dans les arbres,"Cette cabane perchée offre un séjour en pleine nature, perché dans les arbres. Idéal pour les amateurs de calme et de sérénité, avec tout le confort nécessaire pour une escapade réussie.",-2.7526,47.7639,insolite,F1,20,2,0,1,90,99,1,2,5,1,
CaGar,27,Cottage cosy près du Mont Saint-Michel,7_maison,Retraite de charme à la campagne,Ce charmant cottage est niché dans la campagne près du Mont Saint-Michel. Idéal pour une retraite paisible entourée de nature.,1.5106,48.6354,maison,T2,60,4,0,2,80,88,1,3,7,3,B
CaGar,28,Villa en bord de mer à Saint-Malo,8_villa,Villa luxueuse en bord de mer,Vivez le luxe dans cette superbe villa en bord de mer située à Saint-Malo. Avec un accès direct à la plage et une vue panoramique sur l'océan.,-2.0254,48.6495,villa d'exception,T5,250,10,0,5,400,440,1,7,14,5,A
EmRou,29,Cabane pittoresque au bord de la rivière,9_chalet,Évasion au bord de la rivière,Évadez-vous dans cette cabane confortable située au bord de la rivière. Parfait pour les amateurs de pêche et ceux qui recherchent la tranquillité.,-3.1145,47.5123,chalet,T2,40,3,1,1,70,77,1,2,5,1,C
AudFer,30,appartement moderne à Rennes,10_appartement,Vie urbaine élégante,"appartement élégant situé au cœur de Rennes. Proche des commerces, des restaurants et des attractions culturelles.",-1.6772,48.1173,appartement,T3,70,6,2,2,90,99,1,4,7,2,C
MarLe,31,Ferme rustique à la campagne,11_maison,Évasion à la campagne tranquille,Vivez le charme rural dans cette ferme traditionnelle entourée de champs et de forêts. Parfait pour une retraite en famille.,-2.9834,48.1693,maison,T4,180,8,0,4,150,165,1,5,10,3,B
JDub,32,Retraite côtière à Quiberon,12_maison,Sérénité côtière,"Détendez-vous dans cette retraite côtière située dans la pittoresque ville de Quiberon. Proche des plages, des falaises et des sentiers de randonnée.",-3.1190,47.4825,maison,T2,55,4,0,2,75,82.5,1,3,7,2,B
SoMar,33,Cabane au bord du lac dans la forêt de Brocéliande,13_chalet,Retraite tranquille en forêt,Échappez-vous dans cette charmante cabane au bord du lac nichée dans la mystérieuse forêt de Brocéliande. Parfait pour les amoureux de la nature et les randonneurs.,-2.2587,48.1057,chalet,F1,25,2,0,1,60,66,1,2,5,1,
PiDu,34,Expérience unique en yourte à Carnac,14_insolite,14_insolite,Plongez-vous dans la nature avec cette expérience unique en yourte à Carnac. Entouré de prairies et à proximité de sites anciens.,-3.0831,47.5859,logement insolite,F1,30,2,0,1,50,55,1,2,5,1,
ElMo,35,Maison de ville historique à Dinan,15_maison,Charme médiéval,"Séjournez dans cette maison de ville historique datant du Moyen Âge, située dans la charmante ville de Dinan.",-2.0478,48.4547,maison,T4,120,6,0,3,110,121,1,4,7,2,D
ThLau,36,Cottage du gardien de phare à Groix,16_chalet,Retraite au bord de la mer,Vivez comme un gardien de phare dans ce charmant cottage situé sur l'île de Groix. Vue spectaculaire sur la mer.,-3.4527,47.6344,chalet,T3,70,4,0,2,85,93.5,1,3,7,2,C
CaGar,37,Maisonnette pittoresque à Belle-Île-en-Mer,17_chalet,Retraite charmante sur une île,Admirez le charme de cette maisonnette pittoresque située sur l'île de Belle-Île-en-Mer. Idéal pour une escapade romantique ou des vacances en famille.,-3.2083,47.3192,chalet,T1,35,2,0,1,1,71.5,1,2,5,1,C
CaGar,38,Appartement avec vue sur la mer à Douarnenez,18_appartement,Vue panoramique sur la mer,appartement moderne avec vue imprenable sur la mer à Douarnenez. Idéal pour des vacances en bord de mer.,-4.3333,48.0938,appartement,T2,50,4,0,2,80,88,1,3,7,2,B
EmRou,39,Villa de luxe avec piscine à Carnac,19_villa,Élégance et détente près de la plage,Villa de luxe avec piscine privée à Carnac. Profitez du confort et du calme à quelques pas des plages de sable fin.,-3.0812,47.5732,Villa d'exception,T5,300,12,0,6,600,660,1,7,14,5,A
AudFer,40,Chaumière traditionnelle à Pont-Aven,20_maison,Authenticité bretonne,Découvrez le charme de la Bretagne dans cette chaumière traditionnelle à Pont-Aven. Ambiance chaleureuse et tranquillité assurée.,-3.7451,47.8553,Maison,T3,100,6,0,3,120,132,1,4,7,2,C
MarLe,41,Loft moderne dans le centre de Saint-Brieuc,21_appartement,Style urbain chic,Loft élégant et contemporain situé en plein cœur de Saint-Brieuc. Parfait pour découvrir la ville et ses environs.,-2.7608,48.5142,appartement,T2,60,4,0,2,90,99,1,3,7,2,B
JDub,42,Chalet en bord de rivière à Morlaix,22_chalet,Retraite au bord de la rivière,Séjournez dans ce charmant chalet en bord de rivière à Morlaix. Calme et sérénité assurés.,-3.8329,48.5788,Chalet,T2,45,3,0,1,75,82.5,1,2,5,1,D
SoMar,43,appartement avec terrasse à Lorient,23_appartement,Terrasse ensoleillée,appartement lumineux avec terrasse ensoleillée à Lorient. Proche du centre-ville et des plages.,-3.3669,47.7472,appartement,T3,80,6,0,3,100,110,1,4,7,2,C
PiDu,44,Maison en pierre avec jardin à Vannes,24_maison,Tranquillité et nature,Détendez-vous dans cette charmante maison en pierre avec jardin à Vannes. Idéal pour une escapade en famille ou entre amis.,-2.7608,47.6580,maison,T4,150,8,0,4,150,165,1,5,10,3,B
ElMo,45,Gîte rural près de la forêt de Brocéliande,25_maison,Retraite au cœur de la nature,Séjournez dans ce gîte rural pittoresque près de la forêt de Brocéliande. Parfait pour les amoureux de la nature et les randonneurs.,-2.2587,48.1057,maison,T2,70,4,0,2,85,93.5,1,3,7,2,C
ThLau,46,Studio avec vue sur le port à Concarneau,26_appartement,Vue sur le port de charme,Studio moderne avec vue imprenable sur le port de Concarneau. Idéal pour un séjour en bord de mer.,-3.9237,47.8728,appartement,Studio,40,2,0,1,70,77,1,2,5,1,B
CaGar,47,Maison de pêcheur à Camaret-sur-Mer,27_maison,Authenticité bretonne au bord de l'eau,Découvrez l'authenticité dans cette charmante maison de pêcheur à Camaret-sur-Mer. À deux pas du port et des plages.,-4.6124,48.2776,maison,T2,50,4,0,2,80,88,1,3,7,2,C
CaGar,48,Villa contemporaine avec jacuzzi à Quiberon,28_villa,Élégance et détente près de la plage,Profitez du luxe dans cette villa contemporaine avec jacuzzi à Quiberon. À quelques minutes des plages et du centre-ville.,-3.1190,47.4825,Villa d'exception,T4,200,8,0,4,250,275,1,5,10,3,A
EmRou,49,appartement lumineux à Saint-Malo,29_appartement,Luminosité et confort près de la mer,appartement lumineux et récemment rénové à Saint-Malo. Proche des remparts et des plages.,-2.0254,48.6495,appartement,T3,70,6,0,3,90,99,1,4,7,2,D
AudFer,50,Chalet en bois au cœur de la nature à Dinard,30_chalet,Retraite rustique en pleine nature,Séjournez dans ce chalet en bois au cœur de la nature à Dinard. Calme et tranquillité assurés.,-2.0550,48.6341,Chalet,T2,55,4,0,2,75,82.5,1,3,7,2,B
MarLe,51,Maison traditionnelle avec jardin à Brest,31_maison,Tranquillité et nature,Découvrez le charme de la Bretagne dans cette maison traditionnelle avec jardin à Brest. Idéal pour des vacances en famille.,-4.4861,48.3904,Maison,T4,120,8,0,4,150,165,1,5,10,3,C
JDub,52,Appartement avec balcon à Lannion,32_appartement,Balcon ensoleillé avec vue dégagée,appartement lumineux avec balcon ensoleillé à Lannion. Proche du centre-ville et des commerces.,-3.4607,48.7335,appartement,T2,60,4,0,2,80,88,1,3,7,2,B
SoMar,53,Loft moderne avec terrasse à Auray,33_appartement,Style urbain avec vue panoramique,Loft moderne avec grande terrasse ensoleillée à Auray. Proche des attractions touristiques et des transports.,-2.9831,47.6669,appartement,T3,80,6,0,3,100,110,1,4,7,2,A
PiDu,54,Chaumière romantique à Paimpol,34_chalet,Évasion romantique en bord de mer,"Évadez-vous dans cette chaumière romantique à Paimpol. Ambiance chaleureuse et intime, idéale pour une escapade en amoureux.",-3.0402,48.7764,Chalet,T1,35,2,0,1,60,66,1,2,5,1,E
ElMo,55,Appartement avec vue sur la baie à Roscoff,35_appartement,Vue imprenable sur la baie,appartement confortable avec vue panoramique sur la baie à Roscoff. Proche des plages et des restaurants.,-3.9864,48.7264,appartement,T2,50,4,0,2,70,77,1,3,7,2,C
